Name of the Book Author
Adventures of Sherlock Holmes	Sir Arthur Conan Doyle
Ain-i-Akbari	Abul Fazal
Alchemist, The	Paulo Coelho
Alice in the Wonderland	Lewis Carroll
All’s Well that Ends well	William Shakespeare
An American Tragedy	Theodore Dreiser
An idealist view of life	Dr. S. Radhakrishnan
Anand Math	Bankim Chandra Chatterjee
Androcles and the Lion	George Bernard Shaw
Ape and Essence	A. Huxley
Apple Cart	George Bernard Shaw
Arabian Nights	Sir Richard Burton
Area of Darkness	V.S. Naipaul
Arthashastra	Kautilya
Arms and the man	George Bernard Shaw
Around the World in Eighty Days	Jules Verne
As you like it	William Shakespeare
Autobiography of an Unknown Indian	Nirad C. Choudhury
Babur-nama	Babur
Between the Lines	Kuldip Nayar
Bharat Bharati	Maithili Sharan Gupt
Bitter Sweet	Noel Coward
Brave New World	Aldous Huxley
Broken Wing	Sarojini Naidu
A Bunch of Old Letters	Jawaharlal Nehru
Caesar and Cleopatra	George Bernard Shaw
Canterbury Tales	Geoffrey Chaucer
Chitra	Rabindranath Tagore
Comedy of Errors	William Shakespeare
Coolie	Mulk Raj Anand
Crime and Punishment	Fyodor Dostoevsky
Das Kapital	Karl Marx
David Copperfield	Charles Dickens
Descent of Man	Charles Darwin
Dilemma of Our Time	Harold Joseph Laski
Discovery of India	Jawaharlal Nehru
Divine Life	Swami Siv Ananda
Doctor’s Dilemma	George Bernard Shaw
Doctor Zhivago	Boris Pasternak
Don Juan	Lord Byron
Ends and Means	Aldous Huxley
Farewell to Arms, A	Ernest Hemingway
First Among Equal	Jeffrey Archer
For whom the Bell Tolls	Emest Hemingway
Freedom at Midnight	Larry Collins and Dominique Lapierre
Future Shock	Alvin Toffler
Autobiography of an Unknown Indian	Nirad C. Choudhury
The Power of Your Subconcious Mind
The Fallen Angels
ABCD
